S_no	n_states	A_ss1	B_ss1	C_ss1	D_ss1	A_ss2	B_ss2	C_ss2	D_ss2	A_ss3	B_ss3	C_ss3	D_ss3	A_ss4	B_ss4	C_ss4	D_ss4	A_ss5	B_ss5	C_ss5	D_ss5	A_ss6	B_ss6	C_ss6	D_ss6	A_ss7	B_ss7	C_ss7	D_ss7	A_ss8	B_ss8	C_ss8	D_ss8	A_ss9	B_ss9	C_ss9	D_ss9	A_ss10	B_ss10	C_ss10	D_ss10	A_ss11	B_ss11	C_ss11	D_ss11	A_ss12	B_ss12	C_ss12	D_ss12	A_ss13	B_ss13	C_ss13	D_ss13	A_ss14	B_ss14	C_ss14	D_ss14	A_ss15	B_ss15	C_ss15	D_ss15	A_ss16	B_ss16	C_ss16	D_ss16	A_ss17	B_ss17	C_ss17	D_ss17	A_ss18	B_ss18	C_ss18	D_ss18	A_ss19	B_ss19	C_ss19	D_ss19	A_ss20	B_ss20	C_ss20	D_ss20	A_ss21	B_ss21	C_ss21	D_ss21	A_ss22	B_ss22	C_ss22	D_ss22	A_ss23	B_ss23	C_ss23	D_ss23	A_ss24	B_ss24	C_ss24	D_ss24	A_ss25	B_ss25	C_ss25	D_ss25	A_ss26	B_ss26	C_ss26	D_ss26
6449	2	-2.613445930660495	-6.737631407521705	4.295279560775529	3.5117157687006286	1.0757745570094064	-8.048412705287877	-0.20033779823185874	2.2783898512689995																																																																																																
3545	1	0.9190435632423157	-5.2286835235973355	-6.332952283063429	1.0919114530315246																																																																																																				
3905	1	1.3369738342070696	2.50196519290968	-9.21426722077151	-4.460062859884801																																																																																																				
9740	1	-3.99993605030409	0.9721367811537897	-3.052435726990238	3.1066053979747164																																																																																																				
8296	1	-9.748124740270761	-1.5554656811683174	-3.5423184777258934	6.243176268913556																																																																																																				
3601	2	-5.556861130728248	1.0699686171679548	3.1050122044920947	-5.477288849869829	0.34903833453408495	6.602166599937066	-3.16956087005323	-6.661798840195327																																																																																																
1458	2	-8.333348837729005	1.3937853287006914	-4.312733490612196	0.9565056333683911	-1.7760225698912826	3.441502484617421	-4.29815913164439	-1.4495118814755081																																																																																																
6939	25	3.742864104985282	-4.590298613095877	-0.909789095590576	0.3266112453408926	5.295992931433891	-0.8941923442550008	-2.0537516310599186	-0.4745913322304687	5.378084182981534	-0.8484156116076994	-2.169323129939214	-0.43017747204131096	4.574345359748253	-1.2602179122276447	-1.5521630704073182	-0.3922236284331911	5.052514983534729	-1.438642088792254	-2.753453443130476	0.3555435773683531	4.803127837775461	-1.1336095276409857	-1.6831953707850242	-0.4375834628060408	4.716136015046309	-1.1795666395734157	-1.6324351341063168	-0.421004430885709	4.1484719111659825	-1.5770745049501684	-1.3072045447275558	-0.29340330906516776	5.189875566778434	-1.0859432299510414	-2.6537969057570603	0.17495849546796355	-5.343738075098379	-3.039089208122957	3.4458903129291514	4.402857264709997	4.855924880310541	-2.034842680405802	-2.859949143933793	0.5702254814007442	3.929906081731207	-4.701238543128339	-1.0956021112911254	0.4957234224999005	5.4149187183911565	-0.8187021554639509	-2.27658832396923	-0.3529325883801056	3.5546642487285625	-3.27977974433516	-0.745177714252373	0.051930625261175756	4.906835982101427	-1.8752193886483148	-2.8372900758896686	0.5187523878542828	5.237538501110764	-0.9892225094135509	-2.6131607185148136	0.10429556034970629	4.430537042812313	-3.4047287320277024	-2.1932793252636604	0.8458676117681573	4.343407479370173	-1.4137238603392552	-1.4223763783114118	-0.34128258893882285	4.636945930177877	-2.7381238115074367	-2.8095911610994393	0.7607919592887371	5.006513790497905	-1.0331485489022167	-1.8112866869537838	-0.47106075826214944	5.340986054356928	-0.870301427882844	-2.109980741836913	-0.4576531187861625	4.422926048840295	-1.3570166820703224	-1.4673992139643663	-0.3594162886140405	4.536694255728239	-3.0628851656281237	-2.5732802813772544	0.8239540152331754	4.957743706736512	-1.0565822473893665	-1.7789005205029065	-0.46398836407632893	4.250203431534518	-1.4868503994372373	-1.3684309408050879	-0.31908225798273515				
985	3	2.341512447618133	-3.161553372821494	0.7745121400958992	-5.584547763084676	4.549391612624722	-4.612735348214935	-4.520652201104951	-0.2918047355268657	0.4807902543042826	4.1066436673576465	-5.398084981463274	-4.23741657272338																																																																																												
9587	4	3.4674501014610186	-5.190040983478139	-3.772068408916532	0.6291260917571021	-3.7231284245444174	0.3834036592949036	-6.060271915729514	2.0867087310545696	2.053197573522204	-0.17585323370534459	-5.918603706921652	-4.278422199840716	-3.040007750951583	-3.2843388894575765	0.4862736119968537	5.598912872256175																																																																																								
