S_no	n_states	A_ss1	B_ss1	C_ss1	D_ss1	A_ss2	B_ss2	C_ss2	D_ss2	A_ss3	B_ss3	C_ss3	D_ss3	A_ss4	B_ss4	C_ss4	D_ss4	A_ss5	B_ss5	C_ss5	D_ss5	A_ss6	B_ss6	C_ss6	D_ss6	A_ss7	B_ss7	C_ss7	D_ss7	A_ss8	B_ss8	C_ss8	D_ss8	A_ss9	B_ss9	C_ss9	D_ss9	A_ss10	B_ss10	C_ss10	D_ss10	A_ss11	B_ss11	C_ss11	D_ss11	A_ss12	B_ss12	C_ss12	D_ss12	A_ss13	B_ss13	C_ss13	D_ss13	A_ss14	B_ss14	C_ss14	D_ss14	A_ss15	B_ss15	C_ss15	D_ss15	A_ss16	B_ss16	C_ss16	D_ss16	A_ss17	B_ss17	C_ss17	D_ss17	A_ss18	B_ss18	C_ss18	D_ss18	A_ss19	B_ss19	C_ss19	D_ss19	A_ss20	B_ss20	C_ss20	D_ss20	A_ss21	B_ss21	C_ss21	D_ss21	A_ss22	B_ss22	C_ss22	D_ss22	A_ss23	B_ss23	C_ss23	D_ss23	A_ss24	B_ss24	C_ss24	D_ss24	A_ss25	B_ss25	C_ss25	D_ss25	A_ss26	B_ss26	C_ss26	D_ss26	A_ss27	B_ss27	C_ss27	D_ss27
6253	5	0.6550223847511368	-3.6542354001280617	-6.732510496226321	4.315844933923858	-2.823376029736313	2.423910967173678	-5.579678685813087	0.4206175918078446	-5.042931169562237	2.5637874050358445	0.5005483140206254	-4.683246272864384	3.1203558459348324	-3.3167511597662056	-6.89826783220948	0.48841552432181895	1.9303134299824374	0.9974870546842018	-6.010171981329624	-5.168725185953322																																																																																								
4685	1	-8.304382555653437	-6.302471094319368	4.612389731795481	0.4423112826194869																																																																																																								
1732	2	4.958177536708235	0.3329001266908363	-4.427264646815053	-3.2026871376625783	3.051190439572967	-3.4409656401616924	2.0299043338618583	-6.238293232363465																																																																																																				
4743	4	0.8720382339190511	-5.447353557140083	-2.417180974235779	1.147364214701313	-3.7365498985002876	1.020302701919339	-5.5191626483651355	1.3592766606414244	4.258810155691871	0.5754044324455818	-3.2420600229900525	-3.9973301003032304	0.14778074394731952	3.2343341237302052	-2.8271850739835256	-3.6949984600368233																																																																																												
4522	2	1.2745296071230305	-3.798897962567364	1.7313794774536866	-4.592431729512261	-5.097275255094059	-5.324267674414854	1.6908224893099675	1.7682517239939968																																																																																																				
6341	2	-2.4730551431359107	2.4752314045537243	1.7966091210848012	-6.510389593993918	2.6852917059413977	-3.549974928230604	2.395252079895619	-6.832654265620352																																																																																																				
577	4	2.2074477245608524	-4.200353739073952	3.288267924130851	-2.60720177983863	-4.151139285091397	-3.5708247765559564	5.26525905154167	2.8074188739024706	-4.044856395026152	2.3783301445901945	3.906621124765699	-2.62913880606311	1.9767360641971612	1.2810310590403517	-1.4932049967376673	-7.9260575735009215																																																																																												
5203	1	-3.184758757836789	-4.712466226008572	0.332581284901512	2.321103205206467																																																																																																								
6364	3	0.9491439497829607	-2.897052595934429	3.774734285178315	-6.208399271554416	-5.233488455851567	6.195351243756232	-2.2370763099682027	-1.8891993961856177	-5.255970670858527	6.542710078205679	0.18958764824677607	-2.6607708233511453																																																																																																
440	2	-6.767368910951798	3.1704323086707618	4.654317397851102	-5.110847960125958	-8.531150294052646	-2.548184469225586	2.847355495253784	0.9708259612684209																																																																																																				
